time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-08-11T04:17:06.770Z,19.2724990844727,-155.379501342773,27.7000007629395,1.82000005,md,35.0,120.0,0.03874,0.280000001,hv,hv74394751,2024-08-11T04:19:12.040Z,"12 km NE of Pāhala, Hawaii",earthquake,0.61,1.10000002,0.0399999991,3.0,automatic,hv,hv
2024-08-11T04:10:54.190Z,38.82,-122.81,1.7,0.68,md,12.0,81.0,0.002671,0.02,nc,nc75047032,2024-08-11T04:30:57.749Z,"7 km NNW of The Geysers, CA",earthquake,0.31,0.790000021,0.24,12.0,automatic,nc,nc
2024-08-11T04:03:40.225Z,-21.1087,-177.8049,421.584,4.2,mb,21.0,121.0,2.429,0.63,us,us6000njg5,2024-08-11T05:11:37.040Z,"260 km W of Houma, Tonga",earthquake,15.74,12.333,0.158,14.0,reviewed,us,us
2024-08-11T03:59:56.584Z,61.5367,-149.9361,46.3,2.0,ml,,,,0.25,ak,ak024aaiit1m,2024-08-11T04:01:36.457Z,"1 km NNE of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-08-11T03:42:14.560Z,33.5146667,-116.487,13.35,0.63,ml,37.0,55.0,0.05195,0.18,ci,ci40697039,2024-08-11T03:48:56.863Z,"18 km ESE of Anza, CA",earthquake,0.2,0.4,0.089,20.0,automatic,ci,ci
2024-08-11T03:41:45.570Z,33.2048333,-116.7805,22.72,0.57,ml,19.0,70.0,0.03601,0.11,ci,ci40697031,2024-08-11T03:48:54.661Z,"4 km SSW of Lake Henshaw, CA",earthquake,0.29,0.42,0.065,6.0,automatic,ci,ci
2024-08-11T03:39:51.680Z,37.55,-118.88,3.53,1.64,md,19.0,201.0,0.05851,0.02,nc,nc75047012,2024-08-11T07:26:34.831Z,"13 km SSE of Mammoth Lakes, CA",earthquake,0.61,0.790000021,0.11,18.0,automatic,nc,nc
2024-08-11T03:38:32.983Z,61.265,-151.0607,68.7,2.0,ml,,,,0.12,ak,ak024aaie96q,2024-08-11T03:39:38.462Z,"13 km N of Beluga, Alaska",earthquake,,1.8,,,automatic,ak,ak
2024-08-11T03:27:24.030Z,19.1806659698486,-155.251327514648,40.6500015258789,2.32999992,md,40.0,196.0,0.1032,0.129999995,hv,hv74394691,2024-08-11T03:29:04.380Z,"24 km E of Pāhala, Hawaii",earthquake,0.66,0.709999979,0.129999995,10.0,automatic,hv,hv
2024-08-11T03:27:18.490Z,19.2028331756592,-155.25700378418,45.5200004577637,1.74,ml,27.0,209.0,0.08376,0.159999996,hv,hv74394686,2024-08-11T03:29:57.220Z,"23 km E of Pāhala, Hawaii",earthquake,0.77,0.99000001,0.91,5.0,automatic,hv,hv
2024-08-11T03:27:15.130Z,35.949,-117.912,3.34,0.49,ml,10.0,72.0,0.06118,0.08,ci,ci40697015,2024-08-11T03:32:59.095Z,"2 km NNW of Little Lake, CA",earthquake,0.18,0.49,0.27,4.0,automatic,ci,ci
2024-08-11T03:26:03.350Z,35.949,-117.9125,2.99,0.68,ml,13.0,72.0,0.0613,0.08,ci,ci40697007,2024-08-11T03:31:58.203Z,"2 km NNW of Little Lake, CA",earthquake,0.14,0.48,0.24,7.0,automatic,ci,ci
